ds,y,repo_mentions
2025-07-01,66,9.92
2025-07-02,158,9.98
2025-07-03,252,12.9
2025-07-04,355,11.64
2025-07-05,462,10.42
2025-07-06,551,10.87
2025-07-07,633,10.67
2025-07-08,722,10.4
2025-07-09,793,9.18
2025-07-10,839,10.67
2025-07-11,908,9.88
2025-07-12,973,9.22
2025-07-13,1036,11.97
2025-07-14,1104,11.89
2025-07-15,1201,8.72
2025-07-16,1305,11.32
2025-07-17,1435,13.09
2025-07-18,1554,13.29
2025-07-19,1674,13.34
2025-07-20,1786,11.96
2025-07-21,1897,10.73
2025-07-22,1997,10.47
2025-07-23,2092,12.72
2025-07-24,2164,12.87
2025-07-25,2233,14.33
2025-07-26,2302,14.15
2025-07-27,2387,12.4
2025-07-28,2487,10.83
2025-07-29,2583,12.32
2025-07-30,2691,13.23
2025-07-31,2814,12.7
2025-08-01,2938,12.23
2025-08-02,3072,13.58
2025-08-03,3177,12.54
2025-08-04,3285,12.46
2025-08-05,3383,13.97
2025-08-06,3459,13.0
2025-08-07,3538,14.07
2025-08-08,3613,14.21
2025-08-09,3694,12.19
2025-08-10,3791,13.28
2025-08-11,3887,16.26
2025-08-12,3988,12.46
2025-08-13,4109,11.13
2025-08-14,4248,11.61
2025-08-15,4376,14.54
2025-08-16,4505,14.65
2025-08-17,4642,14.52
2025-08-18,4765,16.62
2025-08-19,4884,10.89
2025-08-20,4988,15.59
2025-08-21,5090,17.44
2025-08-22,5174,13.51
2025-08-23,5266,14.73
2025-08-24,5363,14.27
2025-08-25,5461,14.16
2025-08-26,5567,15.11
2025-08-27,5704,17.84
2025-08-28,5841,18.56
2025-08-29,5978,15.4
2025-08-30,6124,18.86
2025-08-31,6275,16.15
2025-09-01,6391,18.83
2025-09-02,6503,16.16
2025-09-03,6610,16.6
2025-09-04,6728,17.05
2025-09-05,6832,21.37
2025-09-06,6940,17.98
2025-09-07,7039,15.74
2025-09-08,7148,18.35
2025-09-09,7280,16.46
2025-09-10,7421,16.37
2025-09-11,7576,18.56
2025-09-12,7730,17.35
2025-09-13,7888,17.82
2025-09-14,8041,17.52
2025-09-15,8192,18.1
2025-09-16,8332,18.34
2025-09-17,8443,14.89
2025-09-18,8541,18.9
2025-09-19,8660,16.53
2025-09-20,8782,15.94
2025-09-21,8892,18.11
2025-09-22,9004,18.43
2025-09-23,9144,17.36
2025-09-24,9302,19.75
2025-09-25,9476,16.59
2025-09-26,9645,18.09
2025-09-27,9808,17.92
2025-09-28,9963,18.83
2025-09-29,10117,19.42
2025-09-30,10258,17.59
2025-10-01,10383,20.29
2025-10-02,10525,19.39
2025-10-03,10661,16.56
2025-10-04,10792,16.56
2025-10-05,10913,19.58
2025-10-06,11057,19.37
2025-10-07,11210,19.64
2025-10-08,11374,19.86
2025-10-09,11553,20.34
2025-10-10,11734,21.52
2025-10-11,11915,18.53
2025-10-12,12092,18.54
2025-10-13,12258,18.76
2025-10-14,12398,20.93
2025-10-15,12542,22.47
2025-10-16,12673,20.05
2025-10-17,12794,17.05
2025-10-18,12939,18.34
2025-10-19,13090,19.75
2025-10-20,13248,20.26
2025-10-21,13408,20.59
2025-10-22,13589,21.36
2025-10-23,13769,20.93
2025-10-24,13955,23.07
2025-10-25,14132,20.59
2025-10-26,14317,20.41
2025-10-27,14490,22.52
2025-10-28,14643,19.6
