ds,y,vix,dxy,yield_10y
2025-03-01,2315.31,17.18,102.35,4.2
2025-03-02,2333.29,19.22,101.68,4.213
2025-03-03,2336.92,20.25,102.14,4.227
2025-03-04,2348.18,22.01,101.89,4.24
2025-03-05,2350.69,22.22,101.93,4.253
2025-03-06,2352.96,22.2,101.72,4.265
2025-03-07,2350.66,23.16,101.85,4.278
2025-03-08,2350.32,20.82,102.16,4.29
2025-03-09,2341.19,20.76,102.0,4.302
2025-03-10,2340.92,19.78,102.22,4.313
2025-03-11,2337.45,19.28,102.1,4.324
2025-03-12,2329.38,17.44,101.93,4.334
2025-03-13,2324.25,17.96,102.18,4.343
2025-03-14,2326.08,16.23,101.91,4.352
2025-03-15,2323.28,14.3,101.97,4.361
2025-03-16,2332.44,13.92,101.73,4.368
2025-03-17,2327.29,14.48,101.79,4.375
2025-03-18,2340.29,14.68,101.62,4.381
2025-03-19,2340.41,15.68,101.95,4.386
2025-03-20,2350.13,16.78,101.5,4.391
2025-03-21,2364.19,15.41,101.88,4.394
2025-03-22,2365.17,15.13,101.67,4.397
2025-03-23,2358.78,15.22,101.93,4.399
2025-03-24,2356.81,18.21,101.83,4.4
2025-03-25,2347.71,18.43,102.03,4.4
2025-03-26,2355.01,19.75,101.8,4.399
2025-03-27,2364.39,20.43,101.32,4.397
2025-03-28,2353.38,21.44,101.61,4.395
2025-03-29,2349.24,22.77,101.37,4.391
2025-03-30,2353.0,22.12,101.49,4.387
2025-03-31,2346.61,21.64,101.88,4.382
2025-04-01,2356.51,20.44,101.69,4.376
2025-04-02,2365.27,19.18,101.41,4.369
2025-04-03,2373.85,19.2,101.34,4.362
2025-04-04,2386.27,18.5,101.53,4.353
2025-04-05,2395.01,18.87,101.27,4.345
2025-04-06,2402.74,16.51,101.36,4.335
2025-04-07,2403.31,16.26,101.55,4.325
2025-04-08,2411.84,14.33,101.7,4.314
2025-04-09,2415.45,13.28,101.58,4.303
2025-04-10,2404.83,13.24,100.98,4.291
2025-04-11,2400.58,13.5,101.49,4.279
2025-04-12,2406.37,16.15,101.43,4.267
2025-04-13,2392.68,14.42,101.48,4.254
2025-04-14,2394.45,16.59,101.71,4.241
2025-04-15,2383.55,16.2,100.96,4.228
2025-04-16,2389.65,18.75,101.24,4.215
2025-04-17,2383.75,19.39,101.46,4.202
2025-04-18,2387.47,19.95,101.01,4.188
2025-04-19,2396.29,20.89,101.61,4.175
2025-04-20,2395.11,21.03,101.38,4.162
2025-04-21,2400.65,22.27,101.46,4.149
2025-04-22,2410.06,21.63,101.16,4.136
2025-04-23,2419.22,20.79,101.42,4.124
2025-04-24,2416.13,20.25,101.46,4.111
2025-04-25,2429.35,20.66,101.28,4.1
2025-04-26,2426.46,20.86,101.26,4.088
2025-04-27,2431.11,18.67,101.26,4.078
2025-04-28,2414.41,17.36,101.02,4.067
2025-04-29,2417.0,16.64,101.15,4.058
