ds,y,promo_index
2025-01-01,121.22,0.0
2025-01-02,125.6,0.0
2025-01-03,135.46,1.0
2025-01-04,130.1,1.0
2025-01-05,108.5,0.0
2025-01-06,104.98,0.0
2025-01-07,113.4,0.0
2025-01-08,121.38,0.0
2025-01-09,132.34,0.0
2025-01-10,131.69,1.0
2025-01-11,132.51,1.0
2025-01-12,122.06,0.0
2025-01-13,113.1,0.0
2025-01-14,120.04,0.0
2025-01-15,127.16,0.0
2025-01-16,131.62,0.0
2025-01-17,139.22,1.0
2025-01-18,127.8,1.0
2025-01-19,125.11,0.0
2025-01-20,115.29,0.0
2025-01-21,117.44,0.0
2025-01-22,125.22,0.0
2025-01-23,142.59,0.0
2025-01-24,139.78,1.0
2025-01-25,132.57,1.0
2025-01-26,122.84,0.0
2025-01-27,120.26,0.0
2025-01-28,122.29,0.0
2025-01-29,132.24,0.0
2025-01-30,142.07,0.0
2025-01-31,151.61,1.0
2025-02-01,135.3,1.0
2025-02-02,124.85,0.0
2025-02-03,117.52,0.0
2025-02-04,125.94,0.0
2025-02-05,137.75,0.0
2025-02-06,142.54,0.0
2025-02-07,142.33,1.0
2025-02-08,136.28,1.0
2025-02-09,132.14,0.0
2025-02-10,126.4,0.0
2025-02-11,128.29,0.0
2025-02-12,133.22,0.0
2025-02-13,146.57,0.0
2025-02-14,148.8,1.0
2025-02-15,143.1,1.0
2025-02-16,135.67,0.0
2025-02-17,126.97,0.0
2025-02-18,131.48,0.0
2025-02-19,138.8,0.0
2025-02-20,149.45,0.0
2025-02-21,153.51,1.0
2025-02-22,139.04,1.0
2025-02-23,133.56,0.0
2025-02-24,126.84,0.0
2025-02-25,128.86,0.0
2025-02-26,140.08,0.0
2025-02-27,156.92,0.0
2025-02-28,150.17,1.0
2025-03-01,151.39,1.0
2025-03-02,130.75,0.0
2025-03-03,130.03,0.0
2025-03-04,134.71,0.0
2025-03-05,146.17,0.0
2025-03-06,156.43,0.0
2025-03-07,159.45,1.0
2025-03-08,148.77,1.0
2025-03-09,138.28,0.0
2025-03-10,137.45,0.0
2025-03-11,135.95,0.0
2025-03-12,141.37,0.0
2025-03-13,151.7,0.0
2025-03-14,155.25,1.0
2025-03-15,154.8,1.0
2025-03-16,143.35,0.0
2025-03-17,139.42,0.0
2025-03-18,137.65,0.0
2025-03-19,149.75,0.0
2025-03-20,161.38,0.0
2025-03-21,160.34,1.0
2025-03-22,157.29,1.0
2025-03-23,142.78,0.0
2025-03-24,137.86,0.0
2025-03-25,140.48,0.0
2025-03-26,146.98,0.0
2025-03-27,163.47,0.0
2025-03-28,162.34,1.0
2025-03-29,158.16,1.0
2025-03-30,149.99,0.0
2025-03-31,143.74,0.0
2025-04-01,147.31,0.0
2025-04-02,154.02,0.0
2025-04-03,162.48,0.0
2025-04-04,166.55,1.0
2025-04-05,154.0,1.0
2025-04-06,144.93,0.0
2025-04-07,139.31,0.0
2025-04-08,143.31,0.0
2025-04-09,158.66,0.0
2025-04-10,163.2,0.0
2025-04-11,168.0,1.0
2025-04-12,168.6,1.0
2025-04-13,151.94,0.0
2025-04-14,150.2,0.0
2025-04-15,146.21,0.0
2025-04-16,158.88,0.0
2025-04-17,165.67,0.0
2025-04-18,170.81,1.0
2025-04-19,169.41,1.0
2025-04-20,149.1,0.0
2025-04-21,151.64,0.0
2025-04-22,153.54,0.0
2025-04-23,159.98,0.0
2025-04-24,166.33,0.0
2025-04-25,175.1,1.0
2025-04-26,166.58,1.0
2025-04-27,159.59,0.0
2025-04-28,152.63,0.0
2025-04-29,161.65,0.0
2025-04-30,164.04,0.0
