ds,y,complaints,event_index
2025-01-01,127.86,16.49,1.0
2025-01-02,129.96,15.11,1.0
2025-01-03,132.27,12.77,1.0
2025-01-04,84.63,15.83,1.0
2025-01-05,77.25,16.16,1.0
2025-01-06,123.84,15.18,1.0
2025-01-07,121.88,15.44,1.0
2025-01-08,139.5,14.48,1.0
2025-01-09,129.3,17.96,1.0
2025-01-10,138.61,13.2,1.0
2025-01-11,82.24,13.83,1.0
2025-01-12,80.27,15.02,1.0
2025-01-13,122.77,16.76,1.0
2025-01-14,114.44,12.01,1.0
2025-01-15,130.95,12.38,1.0
2025-01-16,143.87,10.92,1.0
2025-01-17,135.99,15.07,1.0
2025-01-18,87.8,12.76,1.0
2025-01-19,86.34,14.23,1.0
2025-01-20,121.54,16.32,1.0
2025-01-21,121.42,13.72,1.0
2025-01-22,120.9,15.46,1.0
2025-01-23,138.82,14.4,1.0
2025-01-24,137.35,16.34,1.0
2025-01-25,82.71,15.95,1.0
2025-01-26,82.75,13.62,1.0
2025-01-27,119.87,14.66,1.0
2025-01-28,121.63,17.09,1.0
2025-01-29,132.43,15.79,1.0
2025-01-30,130.9,12.21,1.0
2025-01-31,141.99,16.31,1.0
2025-02-01,81.17,12.83,1.0
2025-02-02,79.59,17.83,1.0
2025-02-03,129.89,17.05,1.0
2025-02-04,128.25,15.58,1.0
2025-02-05,130.39,15.31,1.0
2025-02-06,132.49,14.58,1.0
2025-02-07,135.68,16.36,1.0
2025-02-08,87.05,14.26,1.0
2025-02-09,82.39,15.47,1.0
2025-02-10,121.84,16.74,1.0
2025-02-11,123.62,13.88,1.0
2025-02-12,129.14,13.77,1.0
2025-02-13,130.49,12.61,1.0
2025-02-14,135.73,12.87,1.0
2025-02-15,90.41,11.34,1.0
2025-02-16,76.77,16.46,1.0
2025-02-17,121.44,18.62,1.0
2025-02-18,120.47,17.85,1.0
2025-02-19,130.45,11.75,1.0
2025-02-20,134.7,16.45,1.0
2025-02-21,143.71,17.84,1.0
2025-02-22,88.78,14.09,1.0
2025-02-23,109.89,15.2,1.4
2025-02-24,173.77,10.98,1.4
2025-02-25,170.14,15.53,1.4
2025-02-26,179.69,12.87,1.4
2025-02-27,192.01,15.4,1.4
2025-02-28,135.83,11.88,1.0
2025-03-01,90.33,16.09,1.0
2025-03-02,79.15,17.05,1.0
2025-03-03,119.72,13.43,1.0
2025-03-04,121.12,12.73,1.0
2025-03-05,127.74,10.69,1.0
2025-03-06,140.65,14.47,1.0
2025-03-07,140.31,13.84,1.0
2025-03-08,93.6,11.9,1.0
2025-03-09,91.31,15.91,1.0
2025-03-10,118.08,14.1,1.0
2025-03-11,124.03,12.85,1.0
2025-03-12,125.3,13.89,1.0
2025-03-13,133.14,17.14,1.0
2025-03-14,135.28,16.21,1.0
2025-03-15,82.53,14.74,1.0
2025-03-16,78.04,16.24,1.0
2025-03-17,121.62,12.68,1.0
2025-03-18,118.88,15.06,1.0
2025-03-19,133.37,15.29,1.0
2025-03-20,132.58,14.06,1.0
2025-03-21,149.04,15.87,1.0
2025-03-22,84.95,13.44,1.0
2025-03-23,82.53,16.02,1.0
2025-03-24,117.02,16.1,1.0
2025-03-25,130.57,9.17,1.0
2025-03-26,134.48,17.38,1.0
2025-03-27,137.44,8.9,1.0
2025-03-28,132.41,13.77,1.0
2025-03-29,87.6,17.05,1.0
2025-03-30,77.76,14.37,1.0
2025-03-31,128.05,12.07,1.0
2025-04-01,126.98,12.81,1.0
2025-04-02,130.38,17.05,1.0
2025-04-03,126.51,11.16,1.0
2025-04-04,133.87,17.26,1.0
2025-04-05,89.51,14.89,1.0
2025-04-06,87.1,12.62,1.0
2025-04-07,71.65,31.83,1.0
2025-04-08,61.69,30.97,1.0
2025-04-09,72.71,34.73,1.0
2025-04-10,79.0,34.46,1.0
2025-04-11,69.16,29.56,1.0
2025-04-12,47.68,32.19,1.0
2025-04-13,46.33,31.27,1.0
2025-04-14,121.0,17.59,1.0
2025-04-15,116.34,12.3,1.0
2025-04-16,128.7,18.21,1.0
2025-04-17,134.95,14.93,1.0
2025-04-18,137.21,12.68,1.0
2025-04-19,84.5,13.65,1.0
2025-04-20,80.47,13.4,1.0
2025-04-21,122.04,12.45,1.0
2025-04-22,125.52,15.19,1.0
2025-04-23,128.78,12.54,1.0
2025-04-24,134.62,10.64,1.0
2025-04-25,138.17,14.24,1.0
2025-04-26,79.07,11.39,1.0
2025-04-27,84.15,13.5,1.0
2025-04-28,122.2,13.18,1.0
2025-04-29,123.9,13.26,1.0
2025-04-30,133.84,19.0,1.0
2025-05-01,128.44,15.11,1.0
2025-05-02,129.9,15.49,1.0
2025-05-03,87.85,11.45,1.0
2025-05-04,82.22,13.69,1.0
2025-05-05,122.88,15.43,1.0
2025-05-06,121.9,12.95,1.0
2025-05-07,132.66,16.82,1.0
2025-05-08,139.99,12.59,1.0
2025-05-09,139.74,14.43,1.0
2025-05-10,85.71,13.83,1.0
2025-05-11,73.81,15.33,1.0
2025-05-12,125.28,13.72,1.0
2025-05-13,128.63,14.46,1.0
2025-05-14,132.58,14.53,1.0
2025-05-15,132.74,13.53,1.0
2025-05-16,140.49,15.97,1.0
2025-05-17,90.2,15.48,1.0
2025-05-18,88.48,14.82,1.0
2025-05-19,118.7,14.14,1.0
2025-05-20,122.84,16.59,1.0
