ds,yhat,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2025-05-01,129.36263001503724,161.96105941814452,199.677568254265,158.85265324002117,202.85231195605616,157.83045688583246,209.90078278135468
2025-05-02,128.9912595521672,161.58968895527448,199.30619779139496,158.48128277715114,202.4809414931861,157.45908642296243,209.52941231848465
2025-05-03,128.64315720601266,161.24158660911993,198.95809544524042,158.1331804309966,202.13283914703158,157.11098407680788,209.1813099723301
2025-05-04,128.0740121964625,160.67244159956977,198.38895043569025,157.56403542144642,201.56369413748138,156.5418390672577,208.61216496277993
2025-05-05,127.95212899490028,160.55055839800755,198.26706723412804,157.4421522198842,201.4418109359192,156.4199558656955,208.49028176121772
2025-05-06,127.95127103212174,160.549700435229,198.2662092713495,157.44129425710565,201.44095297314064,156.41909790291695,208.4894237984392
2025-05-07,128.03429763052046,160.63272703362773,198.3492358697482,157.52432085550439,201.52397957153937,156.50212450131568,208.5724503968379
2025-05-08,127.77511568529613,160.3735450884034,198.0900539245239,157.26513891028006,201.26479762631504,156.24294255609135,208.31326845161357
2025-05-09,127.81445354806036,160.41288295116763,198.1293917872881,157.30447677304429,201.30413548907927,156.28228041885558,208.3526063143778
2025-05-10,127.68587776649738,160.28430716960466,198.00081600572514,157.1759009914813,201.1755597075163,156.1537046372926,208.22403053281482
2025-05-11,127.50008094584778,160.09851034895505,197.81501918507553,156.99010417083173,200.98976288686669,155.967907816643,208.0382337121652
2025-05-12,127.43256104812617,160.03099045123344,197.74749928735395,156.9225842731101,200.92224298914508,155.90038791892138,207.97071381444363
2025-05-13,127.44352391686716,160.04195331997443,197.75846215609494,156.93354714185108,200.93320585788607,155.91135078766237,207.98167668318462
2025-05-14,127.49613967758008,160.09456908068734,197.81107791680785,156.986162902564,200.98582161859898,155.96396654837528,208.03429244389753
