ds,yhat,lower_80,upper_80,lower_90,upper_90
2025-05-01,173.7032683122244,169.1756446324333,178.2308919920155,167.8921820209569,179.51435460349188
2025-05-02,176.64721985891182,170.24419304562966,183.050246672194,168.429102813681,184.86533690414265
2025-05-03,170.48790981598472,162.64583556503456,178.32998406693488,160.42281311234245,180.553006519627
2025-05-04,159.29593456552823,150.240687205946,168.35118192511047,147.67376198299326,170.9181071480632
2025-05-05,154.48435537176007,144.3602810472094,164.60842969631074,141.49037140136886,167.4783393421513
2025-05-06,157.71400827583176,146.6236405130012,168.80437603866233,143.47981201094413,171.9482045407194
2025-05-07,166.42732271842723,154.4483564316128,178.40628900524166,151.05263354459683,181.80201189225764
2025-05-08,176.2692259319179,163.46317230535357,189.07527955848224,159.83299184145622,192.70546002237958
2025-05-09,179.21317747860536,165.63030643923202,192.7960485179787,161.77991860480293,196.6464363524078
2025-05-10,173.05386743567826,158.73626421942546,187.37147065193105,154.6775990754924,191.43013579586412
2025-05-11,161.86189218522176,146.8454632474264,176.87832112301712,142.5886993327096,181.13508503773392
2025-05-12,157.0503129914536,141.36616448955328,172.73446149335393,136.92011958416907,177.18050639873815
2025-05-13,160.2799658955253,143.95538656203348,176.6045452290171,139.32779630621454,181.23213548483605
2025-05-14,168.99328033812077,152.05246375209774,185.9340969241438,147.25018639121902,190.73637428502252
