ds,y
1960-01-01,6550.0
1960-02-01,8728.0
1960-03-01,12026.0
1960-04-01,14395.0
1960-05-01,14587.0
1960-06-01,13791.0
1960-07-01,9498.0
1960-08-01,8251.0
1960-09-01,7049.0
1960-10-01,9545.0
1960-11-01,9364.0
1960-12-01,8456.0
1961-01-01,7237.0
1961-02-01,9374.0
1961-03-01,11837.0
1961-04-01,13784.0
1961-05-01,15926.0
1961-06-01,13821.0
1961-07-01,11143.0
1961-08-01,7975.0
1961-09-01,7610.0
1961-10-01,10015.0
1961-11-01,12759.0
1961-12-01,8816.0
1962-01-01,10677.0
1962-02-01,10947.0
1962-03-01,15200.0
1962-04-01,17010.0
1962-05-01,20900.0
1962-06-01,16205.0
1962-07-01,12143.0
1962-08-01,8997.0
1962-09-01,5568.0
1962-10-01,11474.0
1962-11-01,12256.0
1962-12-01,10583.0
1963-01-01,10862.0
1963-02-01,10965.0
1963-03-01,14405.0
1963-04-01,20379.0
1963-05-01,20128.0
1963-06-01,17816.0
1963-07-01,12268.0
1963-08-01,8642.0
1963-09-01,7962.0
1963-10-01,13932.0
1963-11-01,15936.0
1963-12-01,12628.0
1964-01-01,12267.0
1964-02-01,12470.0
1964-03-01,18944.0
1964-04-01,21259.0
1964-05-01,22015.0
1964-06-01,18581.0
1964-07-01,15175.0
1964-08-01,10306.0
1964-09-01,10792.0
1964-10-01,14752.0
1964-11-01,13754.0
1964-12-01,11738.0
1965-01-01,12181.0
1965-02-01,12965.0
1965-03-01,19990.0
1965-04-01,23125.0
1965-05-01,23541.0
1965-06-01,21247.0
1965-07-01,15189.0
1965-08-01,14767.0
1965-09-01,10895.0
1965-10-01,17130.0
1965-11-01,17697.0
1965-12-01,16611.0
1966-01-01,12674.0
1966-02-01,12760.0
1966-03-01,20249.0
1966-04-01,22135.0
1966-05-01,20677.0
1966-06-01,19933.0
1966-07-01,15388.0
1966-08-01,15113.0
1966-09-01,13401.0
1966-10-01,16135.0
1966-11-01,17562.0
1966-12-01,14720.0
1967-01-01,12225.0
1967-02-01,11608.0
1967-03-01,20985.0
1967-04-01,19692.0
1967-05-01,24081.0
1967-06-01,22114.0
1967-07-01,14220.0
1967-08-01,13434.0
1967-09-01,13598.0
1967-10-01,17187.0
1967-11-01,16119.0
1967-12-01,13713.0
1968-01-01,13210.0
1968-02-01,14251.0
1968-03-01,20139.0
1968-04-01,21725.0
1968-05-01,26099.0
1968-06-01,21084.0
1968-07-01,18024.0
1968-08-01,16722.0
1968-09-01,14385.0
1968-10-01,21342.0
1968-11-01,17180.0
1968-12-01,14577.0
