ds,y,respiratory_visits,staff_shortage_index
2025-01-01,89.58,37.7,3.24
2025-01-02,90.02,39.27,4.41
2025-01-03,87.42,45.64,4.2
2025-01-04,89.86,46.09,3.2
2025-01-05,88.33,49.34,3.99
2025-01-06,89.13,46.8,4.18
2025-01-07,87.79,47.99,4.28
2025-01-08,94.63,48.39,4.09
2025-01-09,90.07,46.61,4.15
2025-01-10,87.11,43.93,4.74
2025-01-11,88.39,37.36,4.61
2025-01-12,78.87,38.62,2.57
2025-01-13,76.59,32.52,3.84
2025-01-14,85.32,33.18,3.92
2025-01-15,81.89,30.47,3.12
2025-01-16,81.01,27.25,4.05
2025-01-17,77.46,29.86,4.62
2025-01-18,82.62,32.64,3.46
2025-01-19,89.92,35.35,4.17
2025-01-20,86.96,36.63,3.54
2025-01-21,87.89,43.06,3.66
2025-01-22,86.98,45.11,4.74
2025-01-23,87.23,45.36,3.73
2025-01-24,83.93,49.59,4.23
2025-01-25,92.79,53.38,3.06
2025-01-26,94.8,53.92,4.93
2025-01-27,84.45,47.05,4.3
2025-01-28,86.82,46.24,3.91
2025-01-29,86.51,48.85,4.29
2025-01-30,83.54,40.97,3.3
2025-01-31,84.97,37.35,4.59
2025-02-01,77.92,35.94,3.84
2025-02-02,85.58,34.96,3.9
2025-02-03,84.53,31.71,3.75
2025-02-04,80.38,29.19,3.71
2025-02-05,73.45,28.65,4.35
2025-02-06,78.09,29.06,4.13
2025-02-07,85.27,30.15,4.33
2025-02-08,77.07,38.69,4.0
2025-02-09,83.83,37.5,4.26
2025-02-10,83.26,41.77,3.79
2025-02-11,89.36,42.11,5.11
2025-02-12,86.45,45.51,3.22
2025-02-13,90.21,46.66,4.63
2025-02-14,89.59,44.21,4.68
2025-02-15,94.77,47.24,3.57
2025-02-16,88.04,45.89,5.11
2025-02-17,88.74,43.59,4.5
2025-02-18,83.11,43.49,4.49
2025-02-19,92.15,45.74,4.01
2025-02-20,83.68,39.91,3.89
2025-02-21,84.09,39.49,3.9
2025-02-22,83.66,34.94,4.2
2025-02-23,78.38,33.47,4.7
2025-02-24,81.6,28.69,4.09
2025-02-25,84.87,31.05,3.54
2025-02-26,83.25,31.95,4.41
2025-02-27,77.07,30.76,4.46
2025-02-28,83.49,35.24,4.33
2025-03-01,87.35,38.04,4.37
2025-03-02,79.87,38.9,3.86
2025-03-03,88.56,52.84,3.54
2025-03-04,95.61,55.51,3.57
2025-03-05,95.93,60.26,3.18
2025-03-06,97.21,62.16,4.12
2025-03-07,98.0,60.41,3.96
2025-03-08,97.11,61.56,3.78
2025-03-09,97.53,61.23,2.52
2025-03-10,98.0,59.11,3.38
2025-03-11,93.55,58.19,4.56
2025-03-12,90.16,54.55,3.67
2025-03-13,90.39,46.91,6.68
2025-03-14,91.59,49.49,5.8
2025-03-15,85.7,42.85,7.22
2025-03-16,84.96,44.58,6.43
2025-03-17,93.89,42.14,6.65
2025-03-18,87.73,41.67,7.66
2025-03-19,83.94,40.29,7.26
2025-03-20,91.35,45.78,6.35
2025-03-21,88.28,45.79,6.2
2025-03-22,91.51,53.93,6.34
2025-03-23,95.84,58.12,6.75
2025-03-24,89.45,56.28,6.45
2025-03-25,96.37,60.69,6.3
2025-03-26,98.0,60.06,7.23
2025-03-27,96.73,60.74,6.44
2025-03-28,95.25,63.06,7.65
2025-03-29,93.48,60.01,6.55
2025-03-30,94.38,61.36,7.39
2025-03-31,91.59,54.13,6.68
2025-04-01,91.17,54.0,6.98
2025-04-02,92.85,49.1,6.14
2025-04-03,84.27,47.71,6.07
2025-04-04,89.94,43.02,6.73
2025-04-05,85.94,42.39,6.99
2025-04-06,87.93,41.77,6.52
2025-04-07,82.99,40.82,5.86
2025-04-08,92.34,45.23,5.82
2025-04-09,93.08,47.42,5.79
2025-04-10,93.42,50.1,5.62
