ds,yhat,lower_80,upper_80,lower_90,upper_90
1961-01-01,451.5758172955184,437.1153437202887,466.0362908707481,433.01617857525054,470.13545601578625
1961-02-01,427.25588962762845,406.8056917792009,447.706087476056,401.00859683668085,453.50318241857605
1961-03-01,464.6964044840989,439.65012955029397,489.7426794179038,432.5501672504724,496.84264171772537
1961-04-01,500.1006508060935,471.17970365563417,529.0215979565528,462.98137336555783,537.2199282466291
1961-05-01,508.65788615131686,476.3232842502639,540.9924880523698,467.1572723349608,550.1584999676729
1961-06-01,567.7106632442739,532.2898815459616,603.1314449425861,522.2490185692163,613.1723079193314
1961-07-01,647.893899528669,609.6350826083902,686.1527164489477,598.7897110516352,696.9980880057027
1961-08-01,632.4571169020135,591.5567212051584,673.3575125988685,579.9625313201183,684.9517024839087
1961-09-01,534.3700765897069,490.98865586401786,577.7514973153958,478.69116042890334,590.0489927505104
1961-10-01,484.9264935537499,439.19846101134596,530.6545260961539,426.23576264785083,543.6172244596489
1961-11-01,418.4543039333765,370.4943387934906,466.41426907326235,356.8989460536962,480.00966181305677
1961-12-01,471.0526239275274,420.96007405991753,521.1451737951372,406.7601494602744,535.3450983947804
