ds,y,repo_mentions
2025-07-01,66.0,9.92
2025-07-02,158.0,9.98
2025-07-03,252.0,12.9
2025-07-04,355.0,11.64
2025-07-05,462.0,10.42
2025-07-06,551.0,10.87
2025-07-07,633.0,10.67
2025-07-08,722.0,10.4
2025-07-09,793.0,9.18
2025-07-10,839.0,10.67
2025-07-11,908.0,9.88
2025-07-12,973.0,9.22
2025-07-13,1036.0,11.97
2025-07-14,1104.0,11.89
2025-07-15,1201.0,8.72
2025-07-16,1305.0,11.32
2025-07-17,1435.0,13.09
2025-07-18,1554.0,13.29
2025-07-19,1674.0,13.34
2025-07-20,1786.0,11.96
2025-07-21,1897.0,10.73
2025-07-22,1997.0,10.47
2025-07-23,2092.0,12.72
2025-07-24,2164.0,12.87
2025-07-25,2233.0,14.33
2025-07-26,2302.0,14.15
2025-07-27,2387.0,12.4
2025-07-28,2487.0,10.83
2025-07-29,2583.0,12.32
2025-07-30,2691.0,13.23
2025-07-31,2814.0,12.7
2025-08-01,2938.0,12.23
2025-08-02,3072.0,13.58
2025-08-03,3177.0,12.54
2025-08-04,3285.0,12.46
2025-08-05,3383.0,13.97
2025-08-06,3459.0,13.0
2025-08-07,3538.0,14.07
2025-08-08,3613.0,14.21
2025-08-09,3694.0,12.19
2025-08-10,3791.0,13.28
2025-08-11,3887.0,16.26
2025-08-12,3988.0,12.46
2025-08-13,4109.0,11.13
2025-08-14,4248.0,11.61
2025-08-15,4376.0,14.54
2025-08-16,4505.0,14.65
2025-08-17,4642.0,14.52
2025-08-18,4765.0,16.62
2025-08-19,4884.0,10.89
2025-08-20,4988.0,15.59
2025-08-21,5090.0,17.44
2025-08-22,5174.0,13.51
2025-08-23,5266.0,14.73
2025-08-24,5363.0,14.27
2025-08-25,5461.0,14.16
2025-08-26,5567.0,15.11
2025-08-27,5704.0,17.84
2025-08-28,5841.0,18.56
2025-08-29,5978.0,15.4
2025-08-30,6124.0,18.86
2025-08-31,6275.0,16.15
2025-09-01,6391.0,18.83
2025-09-02,6503.0,16.16
2025-09-03,6610.0,16.6
2025-09-04,6728.0,17.05
2025-09-05,6832.0,21.37
2025-09-06,6940.0,17.98
2025-09-07,7039.0,15.74
2025-09-08,7148.0,18.35
2025-09-09,7280.0,16.46
2025-09-10,7421.0,16.37
2025-09-11,7576.0,18.56
2025-09-12,7730.0,17.35
2025-09-13,7888.0,17.82
2025-09-14,8041.0,17.52
2025-09-15,8192.0,18.1
2025-09-16,8332.0,18.34
2025-09-17,8443.0,14.89
2025-09-18,8541.0,18.9
2025-09-19,8660.0,16.53
2025-09-20,8782.0,15.94
2025-09-21,8892.0,18.11
2025-09-22,9004.0,18.43
2025-09-23,9144.0,17.36
2025-09-24,9302.0,19.75
2025-09-25,9476.0,16.59
2025-09-26,9645.0,18.09
2025-09-27,9808.0,17.92
2025-09-28,9963.0,18.83
2025-09-29,10117.0,19.42
2025-09-30,10258.0,17.59
2025-10-01,10383.0,20.29
2025-10-02,10525.0,19.39
2025-10-03,10661.0,16.56
2025-10-04,10792.0,16.56
2025-10-05,10913.0,19.58
2025-10-06,11057.0,19.37
2025-10-07,11210.0,19.64
2025-10-08,11374.0,19.86
2025-10-09,11553.0,20.34
2025-10-10,11734.0,21.52
2025-10-11,11915.0,18.53
2025-10-12,12092.0,18.54
2025-10-13,12258.0,18.76
2025-10-14,12398.0,20.93
2025-10-15,12542.0,22.47
2025-10-16,12673.0,20.05
2025-10-17,12794.0,17.05
2025-10-18,12939.0,18.34
2025-10-19,13090.0,19.75
2025-10-20,13248.0,20.26
2025-10-21,13408.0,20.59
2025-10-22,13589.0,21.36
2025-10-23,13769.0,20.93
2025-10-24,13955.0,23.07
2025-10-25,14132.0,20.59
2025-10-26,14317.0,20.41
2025-10-27,14490.0,22.52
2025-10-28,14643.0,19.6
