ds,yhat,lower_80,upper_80,lower_90,upper_90
1969-01-01,15568.13242703961,13463.356114345443,17672.90873973378,12866.707211098103,18269.55764298112
1969-02-01,16543.13608982198,13566.532882648253,19519.739296995707,12722.743911700833,20363.528267943126
1969-03-01,21834.965783679592,18189.386271525815,25480.54529583337,17155.960056821175,26513.97151053801
1969-04-01,23974.485100706985,19764.93247531865,28184.03772609532,18571.63466882397,29377.33553259
1969-05-01,25444.55477391189,20738.131861296377,30150.9776865274,19403.984354934626,31485.12519288915
1969-06-01,22982.359391611262,17826.7314028139,28137.987380408624,16365.246034266707,29599.472748955817
1969-07-01,18442.458709905604,12873.744021097315,24011.173398713894,11295.159403085414,25589.758016725795
1969-08-01,16333.570301470414,10380.363887122961,22286.77671581787,8692.785945228119,23974.35465771271
1969-09-01,14904.261305149266,8589.932367066764,21218.590243231767,6799.985657324743,23008.536952973787
1969-10-01,19173.706054333965,12517.818941049623,25829.593167618306,10631.049443346594,27716.362665321336
1969-11-01,19311.02534907302,12330.272052238715,26291.778645907325,10351.411508590227,28270.639189555815
1969-12-01,17096.390628646346,9805.231604338793,24387.5496529539,7738.379174929512,26454.40208236318
