ds,yhat,lower_80,upper_80,lower_90,upper_90
2025-10-29,14796.600565949542,14743.95950716361,14849.241624735474,14729.037147100464,14864.16398479862
2025-10-30,14953.490638121119,14879.044938848374,15027.936337393863,14857.941534864456,15049.039741377781
2025-10-31,15120.312941599434,15029.13595321798,15211.489929980888,15003.289667419773,15237.336215779094
2025-11-01,15284.152341911366,15178.870224339502,15389.43445948323,15149.025504213207,15419.279179609524
2025-11-02,15457.298739832739,15339.589753979832,15575.007725685646,15306.222342493907,15608.37513717157
2025-11-03,15637.901301627484,15508.957568082096,15766.845035172872,15472.4054001693,15803.397203085668
2025-11-04,15826.656249701831,15687.381099403123,15965.93140000054,15647.900245701874,16005.412253701788
2025-11-05,16020.320454890752,15871.429056345263,16169.211853436242,15829.22224837743,16211.418661404075
2025-11-06,16217.375883355067,16059.452706997272,16375.299059712863,16014.68562680783,16420.066139902305
2025-11-07,16415.933058567723,16249.46741436136,16582.398702774088,16202.278768496682,16629.587348638765
2025-11-08,16614.044049823628,16439.45340926365,16788.634690383606,16389.961539947606,16838.12655969965
2025-11-09,16808.179198139085,16625.825221376177,16990.533174901993,16574.132649779764,17042.225746498407
2025-11-10,16993.248772819614,16803.44873617222,17183.048809467007,16749.64540181361,17236.852143825618
2025-11-11,17170.76318902496,16973.798382570978,17367.727995478945,16917.9640238126,17423.56235423732
2025-11-12,17344.929883321136,17141.051939316494,17548.807827325778,17083.257887305816,17606.601879336456
2025-11-13,17516.437960398587,17305.87372525486,17727.002195542314,17246.18428500227,17786.691635794905
2025-11-14,17684.590457513084,17467.54581189434,17901.63510313183,17406.019345170484,17963.161569855685
2025-11-15,17856.245126423513,17632.90802860528,18079.582224241745,17569.597816653528,18142.8924361935
2025-11-16,18035.766536534735,17806.309481005872,18265.223592063598,17741.264421491487,18330.268651577982
2025-11-17,18221.19220602329,17985.774234317476,18456.610177729104,17919.039411345628,18523.345000700952
2025-11-18,18413.256469195272,18172.02483264612,18654.488105744425,18103.64198810936,18722.870950281183
2025-11-19,18614.1356899167,18367.22723817337,18861.04414166003,18297.235165359427,18931.036214473974
2025-11-20,18821.75127607913,18569.293626933,19074.20892522526,18497.728502139933,19145.774050018324
2025-11-21,19032.86812527702,18774.980658186243,19290.755592367794,18701.87632236065,19363.859928193386
2025-11-22,19242.109695421852,18978.904401492193,19505.31498935151,18904.292601176458,19579.926789667246
2025-11-23,19448.483136115974,19180.065350150322,19716.900922081626,19103.975944999478,19792.99032723247
2025-11-24,19647.038848595374,19373.50788345101,19920.569813739738,19295.969026056388,19998.10867113436
2025-11-25,19837.283848876163,19558.733548278746,20115.83414947358,19479.77184087625,20194.795856876077
2025-11-26,20021.41296354067,19737.93218635637,20304.893740724972,19657.572818104923,20385.25310897642
2025-11-27,20203.127404436033,19914.80045095593,20491.454357916136,19833.06731877793,20573.187490094137
