ds,yhat,lower_80,upper_80,lower_90,upper_90
2025-08-28,2622.988586547668,2608.592723207246,2637.3844498880903,2604.5118733698746,2641.4652997254616
2025-08-29,2624.3862640492152,2604.027438871121,2644.7450892273096,2598.256245685102,2650.5162824133286
2025-08-30,2621.1025144978194,2596.16814777339,2646.0368812222487,2589.0999085170033,2653.1051204786354
2025-08-31,2621.3388008663896,2592.5470741855456,2650.1305275472337,2584.3853745108026,2658.2922272219766
2025-09-01,2628.237031432218,2596.046902408237,2660.4271604561986,2586.9218447659055,2669.5522180985304
2025-09-02,2638.432621332817,2603.1701017419446,2673.695140923689,2593.1741019234646,2683.691140742169
2025-09-03,2650.0839777407236,2611.9961034338953,2688.171852047552,2601.199189626412,2698.968765855035
2025-09-04,2661.190934335231,2620.4732839790418,2701.90858469142,2608.930897607004,2713.4509710634575
2025-09-05,2675.6614207265666,2632.4738307053003,2718.849010747833,2620.231281193186,2731.091560259947
2025-09-06,2683.6371847622795,2638.113467722026,2729.160901802533,2625.208687446804,2742.065682077755
2025-09-07,2690.4066112347646,2642.6609340013524,2738.1522884681767,2629.1262862650083,2751.686936204521
2025-09-08,2688.946005613776,2639.0772721649173,2738.8147390626345,2624.9407936521443,2752.9512175754076
2025-09-09,2691.3247536959825,2639.4197302675184,2743.2297771244466,2624.706016931407,2757.943490460558
2025-09-10,2685.9118033753475,2632.0474149686693,2739.7761917820258,2616.778273030353,2755.045333720342
2025-09-11,2684.171683450928,2628.4167444791956,2739.9266224226603,2612.611681020682,2755.7316858811737
2025-09-12,2677.8986552736023,2620.3152019119143,2735.4821086352904,2603.9918025624283,2751.8055079847763
2025-09-13,2671.5353984303074,2612.1797333057903,2730.8910635548245,2595.353958384023,2747.716838476592
2025-09-14,2668.124324823031,2607.047849288748,2729.2008003573146,2589.7342697306913,2746.514379915371
2025-09-15,2660.7248306958936,2597.974717189972,2723.474944201815,2580.1867051451054,2741.262956246682
2025-09-16,2657.5512264227727,2593.170968374811,2721.9314844707346,2574.920853090148,2740.1815997553977
2025-09-17,2662.117021048325,2596.146887596601,2728.087154500049,2577.446084317098,2746.787957779552
2025-09-18,2664.560615606839,2597.038031318659,2732.083199895019,2577.897148927979,2751.224082285699
2025-09-19,2667.9247833956033,2598.884648182305,2736.9649186089014,2579.3135798903336,2756.535986900873
2025-09-20,2675.980507192551,2605.4554680108067,2746.5055463742956,2585.463468373847,2766.4975460112555
2025-09-21,2685.8895032033324,2613.910186501222,2757.8688199054427,2593.5059373143645,2778.2730690923004
2025-09-22,2693.616375695332,2620.211587607505,2767.021163783159,2599.4032546547055,2787.8294967359584
2025-09-23,2701.2742233956233,2626.471123222336,2776.0773235689107,2605.2664054531756,2797.282041338071
2025-09-24,2705.761827975861,2629.586079362204,2781.9375765895174,2607.9922517472373,2803.5314042044843
2025-09-25,2707.877519855858,2630.3534232266993,2785.4016164850163,2608.3773742992857,2807.37766541243
2025-09-26,2705.8437872970244,2626.9943964339163,2784.6931781601324,2604.6426613367194,2807.0449132573294
