ds,yhat,lower_80,upper_80,lower_90,upper_90
2025-05-01,173.7032683122244,169.27906371697352,178.12747290747527,168.02491770460256,179.38161891984623
2025-05-02,176.64721985891182,170.39044971759466,182.903990000229,168.6168194177035,184.67762030012014
2025-05-03,170.48790981598472,162.82496267393051,178.15085695803893,160.65271806039408,180.32310157157536
2025-05-04,159.29593456552823,150.4475253750265,168.14434375602997,147.93923335028452,170.65263578077193
2025-05-05,154.48435537176007,144.59153315041218,164.37717759310797,141.78717741304038,167.18153333047977
2025-05-06,157.71400827583176,146.87696449979055,168.55105205187297,143.80494670653542,171.6230698451281
2025-05-07,166.42732271842723,154.72197761012424,178.13266782673023,151.40381915362732,181.45082628322714
2025-05-08,176.2692259319179,163.75568564928358,188.78276621455223,160.20842504950124,192.33002681433456
2025-05-09,179.21317747860536,165.94056369285275,192.48579126435797,162.17812565573982,196.2482293014709
2025-05-10,173.05386743567826,159.06330408010214,187.04443079125437,155.09734616259215,191.01038870876437
2025-05-11,161.86189218522176,147.18846554700843,176.5353188234351,143.0289337916535,180.69485057879004
2025-05-12,157.0503129914536,141.7244187073452,172.37620727556202,137.37992948027232,176.7206965026349
2025-05-13,160.2799658955253,144.32826937420487,176.23166241684572,139.8063816196826,180.75355017136798
2025-05-14,168.99328033812077,152.43942253370113,185.5471381425404,147.74683784242018,190.23972283382136
